jahr,kategorie,zahlungspflichtiger,betrag_mrd_euro,notiz
2063,kindererziehungszeiten,Bund,48.935,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2063,pflegezeiten,Pflegeversicherung,14.394,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2063,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,14.527,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2063,versorgungsdienststellen,Versorgungsdienststellen,3.445,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2064,kindererziehungszeiten,Bund,50.158,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2064,pflegezeiten,Pflegeversicherung,14.753,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2064,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,14.890,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2064,versorgungsdienststellen,Versorgungsdienststellen,3.531,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2065,kindererziehungszeiten,Bund,51.412,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2065,pflegezeiten,Pflegeversicherung,15.122,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2065,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,15.263,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2065,versorgungsdienststellen,Versorgungsdienststellen,3.619,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2066,kindererziehungszeiten,Bund,52.697,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2066,pflegezeiten,Pflegeversicherung,15.500,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2066,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,15.644,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2066,versorgungsdienststellen,Versorgungsdienststellen,3.709,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2067,kindererziehungszeiten,Bund,54.015,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2067,pflegezeiten,Pflegeversicherung,15.888,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2067,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,16.035,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2067,versorgungsdienststellen,Versorgungsdienststellen,3.802,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2068,kindererziehungszeiten,Bund,55.365,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2068,pflegezeiten,Pflegeversicherung,16.285,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2068,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,16.436,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2068,versorgungsdienststellen,Versorgungsdienststellen,3.897,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2069,kindererziehungszeiten,Bund,56.749,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2069,pflegezeiten,Pflegeversicherung,16.692,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2069,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,16.847,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2069,versorgungsdienststellen,Versorgungsdienststellen,3.995,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2070,kindererziehungszeiten,Bund,58.168,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2070,pflegezeiten,Pflegeversicherung,17.109,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2070,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,17.268,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2070,versorgungsdienststellen,Versorgungsdienststellen,4.094,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
